px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.44397	-8.4395	-2.98382	-2.41807	-0.99674	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.0101943
5.52884	-8.33062	-2.94018	-2.43094	-0.934397	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.42114
5.62389	-8.2398	-2.87201	-2.47337	-0.92713	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.439712
5.69473	-8.12422	-2.81286	-2.46434	-0.838117	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.82496
5.83123	-8.01126	-2.86595	-2.50841	-0.835365	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.211525
5.92057	-7.90306	-2.81083	-2.50889	-0.765769	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.05002
6.0561	-7.79543	-2.85485	-2.54617	-0.760598	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.211689
6.13842	-7.69051	-2.76017	-2.5352	-0.678585	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.36888
6.2674	-7.59229	-2.78494	-2.56709	-0.673179	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.14085
6.35966	-7.49554	-2.6991	-2.56265	-0.607669	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.01626
6.48083	-7.40664	-2.70475	-2.5902	-0.602236	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.140857
6.5955	-7.32448	-2.72031	-2.61405	-0.596779	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.762134
6.73209	-7.22851	-2.79155	-2.63447	-0.586767	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.453461
6.77832	-7.12292	-2.53016	-2.58108	-0.453203	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	13.7139
6.8969	-7.02823	-2.55744	-2.59476	-0.442338	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.419678
7.02596	-6.95377	-2.58174	-2.62151	-0.446361	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0797694
7.16156	-6.85187	-2.64354	-2.63159	-0.431793	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.594035
7.23297	-6.75936	-2.447	-2.59579	-0.338456	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	7.29964
7.35969	-6.65812	-2.50699	-2.59945	-0.323436	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.561987
7.51981	-6.60393	-2.69155	-2.66246	-0.398245	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	5.66835
7.64914	-6.5226	-2.7332	-2.67325	-0.38892	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.210309
7.76073	-6.44664	-2.65751	-2.67418	-0.359242	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.879629
7.88442	-6.37891	-2.64772	-2.69071	-0.356537	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.0785772
8.00173	-6.31094	-2.58823	-2.69623	-0.334938	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.482131
8.13937	-6.22357	-2.63414	-2.70063	-0.320716	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.361425
8.20914	-6.14832	-2.42891	-2.67041	-0.251031	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	5.26439
8.33141	-6.05567	-2.495	-2.66304	-0.230757	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.715586
8.48985	-5.99308	-2.65285	-2.69969	-0.270219	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.53791
8.63436	-5.91141	-2.69685	-2.70479	-0.25993	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.187542
8.71554	-5.83033	-2.45487	-2.67013	-0.185704	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	6.12626
8.84833	-5.73495	-2.5135	-2.66161	-0.166737	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.524344
8.93068	-5.66338	-2.37129	-2.63828	-0.118808	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	2.82646
9.04784	-5.5658	-2.43819	-2.62185	-0.0963973	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.760462
9.19722	-5.49658	-2.61467	-2.65228	-0.139815	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	4.07011
9.33447	-5.4007	-2.6643	-2.64436	-0.12414	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.347478
9.40973	-5.31251	-2.42894	-2.60149	-0.0509159	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	5.72088
9.53716	-5.21143	-2.4879	-2.58705	-0.0335498	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.415757
9.62625	-5.13125	-2.35	-2.56047	0.0101243	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	2.54216
9.74703	-5.023	-2.41601	-2.54004	0.0298947	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.537756
9.83156	-4.93483	-2.29746	-2.50787	0.0745382	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	2.20128
9.94502	-4.8256	-2.35933	-2.48604	0.0920543	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.434766
10.0174	-4.7265	-2.242	-2.44246	0.145287	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	2.70964
10.1295	-4.58932	-2.34735	-2.40506	0.1741	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	1.21955
10.2102	-4.48159	-2.30662	-2.36805	0.209862	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.2008
10.3266	-4.32224	-2.44756	-2.32391	0.241763	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	1.72409
10.4516	-4.22369	-2.562	-2.34017	0.198433	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.95575
10.5578	-4.06995	-2.6547	-2.30351	0.223024	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.982245
10.6576	-3.95259	-2.67124	-2.28748	0.227143	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.120453
10.7597	-3.81293	-2.72643	-2.26267	0.239026	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.255875
10.8035	-3.67737	-2.57703	-2.18759	0.32719	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	5.2946
10.8833	-3.53171	-2.62606	-2.15496	0.340967	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.352516
10.9896	-3.42661	-2.72909	-2.17935	0.278373	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	3.32226
